Date,Open,High,Low,Close,Adj Close,Volume
2023-10-03,1527.0,1527.0,1506.0,1508.050048828125,1487.734375,19485847
2023-10-04,1495.0,1535.0,1489.25,1529.550048828125,1508.9447021484375,27324715
2023-10-05,1535.050048828125,1551.550048828125,1532.5999755859375,1535.75,1515.0611572265625,24256337
2023-10-06,1544.0,1545.0,1529.8499755859375,1534.050048828125,1513.3841552734375,8879678
2023-10-09,1528.0,1530.0,1512.0,1516.25,1495.8238525390625,8227486
2023-10-10,1520.550048828125,1529.0,1515.199951171875,1524.8499755859375,1504.3079833984375,16633146
2023-10-11,1530.0999755859375,1542.1500244140625,1528.5,1539.5999755859375,1518.8592529296875,15666680
2023-10-12,1536.0999755859375,1552.0,1531.5999755859375,1549.8499755859375,1528.97119140625,11012668
2023-10-13,1540.0,1548.800048828125,1529.949951171875,1535.75,1515.0611572265625,19872650
2023-10-16,1531.5,1534.449951171875,1520.5,1529.5999755859375,1508.9940185546875,8928042
2023-10-17,1555.75,1555.75,1535.0,1541.199951171875,1520.437744140625,16451279
2023-10-18,1541.199951171875,1541.199951171875,1518.0999755859375,1519.75,1499.2767333984375,15608100
2023-10-19,1505.4000244140625,1526.25,1503.199951171875,1514.949951171875,1494.5413818359375,15126182
2023-10-20,1505.0,1527.0,1505.0,1522.800048828125,1502.28564453125,10547005
2023-10-23,1523.5,1528.75,1500.0999755859375,1506.050048828125,1485.7613525390625,11188068
2023-10-25,1521.0,1522.800048828125,1491.449951171875,1496.5,1476.3399658203125,14155998
2023-10-26,1491.25,1492.0,1460.25,1463.4000244140625,1443.6859130859375,27780899
2023-10-27,1469.5,1478.0,1466.9000244140625,1469.1500244140625,1449.3583984375,15970266
