Ticker,Epoch,RMSE,MAE,MAPE,R2_Score,Timeline
TCS.NS,50,132.66862800689233,106.4031522369051,2.9550387162978033,-0.6627293519995141,2010
TCS.NS,100,201.3619315017228,174.6051296780235,4.872218279986271,-2.8303620367426503,2010
TCS.NS,150,108.60662952053579,89.43394348487043,2.4817687539330824,-0.11428878572515022,2010
TCS.NS,200,97.40825193759447,80.31522820088573,2.2531267192381446,0.10649379194203479,2010
TCS.NS,250,101.78036524510424,83.31768741011716,2.3379279935718214,0.024484700558928374,2010
RELIANCE.NS,50,30.33496924945294,24.28268279080497,1.951624983423244,0.20350384303803493,2010
RELIANCE.NS,100,40.38235542853544,33.276077471520786,2.671388637164667,-0.41149667852156724,2010
RELIANCE.NS,150,24.084358304512822,19.19160839695678,1.5592205195173905,0.4979271630999228,2010
RELIANCE.NS,200,35.98113542038928,29.333400056064267,2.3541229081921444,-0.12058884328715269,2010
RELIANCE.NS,250,24.151589577129652,20.187417488209228,1.642613475375235,0.49512018699290594,2010
TCS.NS,50,117.65150865469589,95.67879351050846,2.6598266416643233,-0.30761558664384325,2020
TCS.NS,100,133.93868187127956,114.81283622133391,3.2138380924137926,-0.694716777001799,2020
TCS.NS,150,87.9002817643616,73.80757475490488,2.0576573194199033,0.27009620444967675,2020
TCS.NS,200,99.98397697514136,84.22739195532704,2.3381878470518718,0.055621911016837666,2020
TCS.NS,250,94.57624542404422,79.14135700415743,2.206514704975354,0.15501456012573844,2020
RELIANCE.NS,50,25.478070446283784,19.258004277536443,1.5577504310843104,0.4381380335772366,2020
RELIANCE.NS,100,23.759475614228577,18.81171497516122,1.5274907097421948,0.5113810915453949,2020
RELIANCE.NS,150,25.09573696788587,20.33359793230217,1.6533018469669456,0.45487452984536525,2020
RELIANCE.NS,200,23.22899367444388,18.488685790819847,1.5020627579327703,0.532956472220869,2020
RELIANCE.NS,250,22.814720263602013,17.62467391377395,1.428747845380408,0.5494667345482942,2020
^NSEI,50,407.03074483723464,351.4622878168671,1.548308260451636,0.259490710187642,2020
^CNX100,50,461.5074291631598,395.12007113260336,1.7120490454933222,0.21229136183795616,2020
^NSEI,100,502.739607127641,444.36819806396574,1.9598095298286766,-0.12969780447656531,2020
^CNX100,100,408.66433183915035,343.94024667925356,1.472456210613139,0.3823510841679615,2020
^NSEI,150,468.0665032513182,413.92627830747125,1.8252952543068852,0.020755352056712084,2020
^CNX100,150,349.6363167618629,295.3525153985014,1.2667224611653296,0.5478929409115669,2020
^NSEI,200,437.3551153686427,380.92569965226966,1.6764468026628114,0.14504254655132154,2020
^CNX100,200,325.2676707088,264.36892188929875,1.1330933562213308,0.6087178696895768,2020
^NSEI,250,277.44563274439815,238.95915648864658,1.0496385158993438,0.6559418356820086,2020
TCS.NS,50,125.67364667020477,101.716110258289,2.8154303296522896,-0.4920161427041112,All
TCS.NS,100,144.26491063063483,113.40220119063652,3.15142353620778,-0.9661041038588105,All
TCS.NS,150,93.7347457790148,77.49767881819137,2.1831389745377296,0.1726156790904526,All
TCS.NS,200,102.44168058037602,82.83584290249259,2.3324212794038086,0.011766745349451102,All
TCS.NS,250,108.54392910027583,87.60652276620674,2.4610436644865024,-0.10947405673441746,All
RELIANCE.NS,50,29.3415583027952,22.675288889109886,1.8333760566561015,0.2548170375369784,All
RELIANCE.NS,100,25.938436898830382,20.721030333802606,1.686021282866704,0.4176498806348413,All
RELIANCE.NS,150,25.385012120904598,20.846352642875846,1.6961164430805051,0.4422349252118405,All
RELIANCE.NS,200,24.485932268461067,18.055032240240127,1.457763171887669,0.48104481635918883,All
RELIANCE.NS,250,23.49978806386064,17.09479204694457,1.3793283089119186,0.5220037849559069,All
